Time	Speed
10/10/2014 3:17:20	0
10/10/2014 3:17:30	0
10/10/2014 3:17:40	0
10/10/2014 3:17:50	0
10/10/2014 3:18:00	0
10/10/2014 3:18:10	0
10/10/2014 3:18:20	0
10/10/2014 3:18:30	0
10/10/2014 3:18:40	0
10/10/2014 3:18:50	0
10/10/2014 3:19:00	0
10/10/2014 3:19:10	0
10/10/2014 3:19:20	0
10/10/2014 3:19:30	0
10/10/2014 3:19:40	0
10/10/2014 3:19:50	0
10/10/2014 3:20:00	0
10/10/2014 3:20:11	0
10/10/2014 3:20:20	0
10/10/2014 3:20:33	0
10/10/2014 3:20:40	0
10/10/2014 3:20:51	0
10/10/2014 3:21:01	0
10/10/2014 3:21:11	0
10/10/2014 3:21:21	0
10/10/2014 3:21:31	0
10/10/2014 3:21:41	0
10/10/2014 3:21:51	0
10/10/2014 3:22:01	0
10/10/2014 3:22:11	0
10/10/2014 3:22:21	0
10/10/2014 3:22:31	0
10/10/2014 3:22:41	0
10/10/2014 3:22:51	0
10/10/2014 3:23:01	0
10/10/2014 3:23:11	0
10/10/2014 3:23:21	0
10/10/2014 3:23:31	0
10/10/2014 3:23:41	0
10/10/2014 3:23:51	0
10/10/2014 3:24:01	0
10/10/2014 3:24:11	0
10/10/2014 3:24:21	0
10/10/2014 3:24:31	0
10/10/2014 3:24:41	0
10/10/2014 3:24:51	0
10/10/2014 3:25:01	0
10/10/2014 3:25:11	0
10/10/2014 3:25:21	0
10/10/2014 3:25:31	0
10/10/2014 3:25:41	0
10/10/2014 3:25:51	0
10/10/2014 3:26:01	0
10/10/2014 3:26:11	0
10/10/2014 3:26:21	0
10/10/2014 3:26:31	0
10/10/2014 3:26:41	0
10/10/2014 3:26:51	0
10/10/2014 3:27:01	0
10/10/2014 3:27:11	0
10/10/2014 3:27:21	0
10/10/2014 3:27:31	0
10/10/2014 3:27:41	0
10/10/2014 3:27:51	0
10/10/2014 3:28:01	0
10/10/2014 3:28:11	0
10/10/2014 3:28:21	0
10/10/2014 3:28:31	0
10/10/2014 3:28:41	0
10/10/2014 3:28:51	0
10/10/2014 3:29:21	0
10/10/2014 3:29:31	0
10/10/2014 3:29:41	0
10/10/2014 3:29:51	0
10/10/2014 3:30:01	0
10/10/2014 3:30:11	0
10/10/2014 3:30:21	0
10/10/2014 3:30:31	0
10/10/2014 3:30:41	0
10/10/2014 3:30:51	0
10/10/2014 3:31:01	0
10/10/2014 3:31:11	0
10/10/2014 3:31:21	0
10/10/2014 3:31:31	0
10/10/2014 3:31:42	0
10/10/2014 3:31:52	0
